,Const,Gęstość 1 + x*0.3,Gęstość 1 - x*0.3,Gęstość x,Gęstość -x
0,21.77959632873535,30.737112045288086,28.548330307006836,30.647567749023438,24.438467025756836
1,16.770551681518555,13.000317573547363,16.289813995361328,15.703315734863281,13.38269329071045
2,14.537280082702637,11.723676681518555,11.564532279968262,14.312298774719238,14.720355033874512
3,8.199667930603027,8.286371231079102,9.222549438476562,14.412150382995605,12.894171714782715
4,0.5512210130691528,0.657436192035675,0.7297205924987793,11.872976303100586,15.061080932617188
5,5.14322891831398e-05,1.1169977369718254e-05,0.00011657572031253949,13.1948881149292,12.057636260986328
6,3.8603706343565136e-05,6.435220711864531e-06,5.399399742600508e-05,13.632455825805664,11.915172576904297
7,7.111322338460013e-05,1.4906938304193318e-05,6.921205203980207e-05,11.457694053649902,12.182598114013672
8,6.745407881680876e-05,1.7120182747021317e-06,0.0003681399975903332,9.47052001953125,10.99879264831543
9,0.0008122816798277199,1.3681312339031138e-05,4.9006248445948586e-05,9.46430492401123,9.55705738067627
10,7.264943997142836e-05,3.973773345933296e-07,3.884108537022257e-07,8.639761924743652,10.141417503356934
11,0.0002711651904974133,1.4229936823539902e-05,1.9666645130200777e-06,6.419154644012451,7.144303798675537
12,0.0004364019841887057,1.51349013322033e-08,3.475265111774206e-05,5.856180191040039,5.8324713706970215
13,5.004651757190004e-05,2.3075124772731215e-05,3.3109827199950814e-06,3.9194886684417725,3.948634386062622
14,7.930984793347307e-06,0.0007142412359826267,1.3370994338401943e-06,3.7230331897735596,3.543700933456421
15,2.7425198823038954e-06,7.448166434187442e-05,9.95663576759398e-05,2.568755865097046,1.2840940952301025
16,2.0874949768767692e-06,8.93586729944218e-06,2.3487236830987968e-06,1.364520788192749,0.5751426815986633
17,6.923585169715807e-05,9.925417543854564e-06,9.562837658450007e-05,0.2631147503852844,0.2313203364610672
18,5.589246484305477e-06,2.391175803495571e-05,4.342132342571858e-08,0.14312545955181122,0.004849386401474476
19,1.2450982467271388e-09,0.00018685497343540192,9.75787770585157e-06,0.000596838362980634,0.02382577583193779
20,0.00017887266585603356,2.7377322112442926e-05,1.1307452950859442e-05,8.940088446252048e-05,0.0001383143535349518
21,1.3551107258535922e-07,0.00024645577650517225,0.00022227205045055598,6.564143404830247e-05,9.804961882764474e-05
22,0.0003429859352763742,1.8713122699409723e-05,3.0379504096345045e-05,7.1228000706469174e-06,2.1977671167405788e-06
23,2.4730081349844113e-05,0.00013128393038641661,0.0002715265145525336,7.2019211074803025e-06,9.904397302307189e-08
24,2.7885116651304998e-06,2.7964255423285067e-05,1.9303523004055023e-05,2.8828164431615733e-05,2.2814740077592432e-05
25,2.4229922928498127e-05,6.722712714690715e-05,0.00015151331899687648,7.31787622498814e-07,2.1747928258264437e-07
26,2.4023811420192942e-05,1.549438457004726e-05,0.0001644564763410017,0.0004936920013278723,1.2923128451802768e-05
27,5.97898724663537e-05,1.499174686614424e-07,6.937875878065825e-05,0.0001273043017135933,1.1954626643273514e-05
28,0.0002638344303704798,1.014210283756256e-06,0.00020467725698836148,1.729532414174173e-06,4.4247484765946865e-05
29,9.992829291149974e-05,6.270039011724293e-05,2.9471773814293556e-05,3.280732926214114e-05,8.022561814868823e-06
30,3.316334550618194e-05,0.00015228908159770072,7.094831289577996e-06,1.8659531633602455e-05,7.481948705390096e-05
31,0.00015844636072870344,1.6621584109088872e-07,5.3637195378541946e-05,7.58126589062158e-07,1.2259908544365317e-05
32,0.0006170906126499176,1.6427748050773516e-07,6.833107818238204e-06,3.470206866040826e-05,7.486074900953099e-05
33,2.075876727758441e-05,0.00018398507381789386,2.777294685074594e-05,1.7040212696883827e-05,2.30384903261438e-05
34,1.3302997103892267e-05,0.00016036081069614738,0.00016595193301327527,0.0001993368932744488,3.89709384762682e-06
35,0.000570459698792547,0.0001987045689020306,9.518067599856295e-06,3.588043909985572e-05,3.4556156606413424e-05
36,9.471050361753441e-06,1.7052025214070454e-07,6.3148268054646906e-06,1.5408164472319186e-05,1.9345447071827948e-05
37,8.390636503463611e-05,4.306290065869689e-05,2.2776534933655057e-06,8.474449714412913e-06,0.0002533453225623816
38,0.00017380714416503906,5.178169158170931e-05,1.3868908354197629e-05,0.0002744099183473736,3.575487789930776e-05
39,0.00021691601432394236,2.5899284992192406e-06,0.00010923002992058173,2.103341103065759e-05,8.437875658273697e-05
40,7.1228000706469174e-06,8.853385224938393e-06,2.0507515728240833e-05,5.654821507050656e-06,0.00021837926760781556
41,2.065507032966707e-06,5.764200977864675e-06,9.600627890904434e-06,0.00015497230924665928,4.33418699685717e-06
42,1.7768252291716635e-05,5.306574166752398e-06,0.0003250697336625308,2.4602195480838418e-05,6.139330798760056e-05
43,1.5445621102117002e-05,3.9318024391832296e-07,2.407525698799873e-07,2.3677625904383603e-06,1.6559431969653815e-05
