,<class 'torch.optim.adadelta.Adadelta'>,<class 'torch.optim.adagrad.Adagrad'>,<class 'torch.optim.adam.Adam'>,<class 'torch.optim.adamw.AdamW'>,<class 'torch.optim.adamax.Adamax'>,<class 'torch.optim.asgd.ASGD'>,<class 'torch.optim.nadam.NAdam'>,<class 'torch.optim.radam.RAdam'>,<class 'torch.optim.rmsprop.RMSprop'>,<class 'torch.optim.rprop.Rprop'>,<class 'torch.optim.sgd.SGD'>
0,8.35737133026123,8.535099029541016,11.0873441696167,9.964984893798828,7.513165473937988,11.197402000427246,14.173532485961914,12.281312942504883,10.357917785644531,11.408926963806152,13.25028133392334
1,5.014197826385498,5.489509105682373,5.181798934936523,6.3976311683654785,3.889580249786377,3.2917239665985107,5.556512355804443,4.3442230224609375,1.814822793006897,0.042555373162031174,3.7635338306427
2,4.8934149742126465,4.074495792388916,4.821663856506348,4.2060770988464355,4.690130233764648,2.28668212890625,2.407216787338257,6.05449914932251,2.0354636944830418e-06,4.422335147857666,1.3319538831710815
3,5.577053070068359,4.087427616119385,0.7811539173126221,1.3517255783081055,5.8196024894714355,1.0981773138046265,0.0011661495082080364,4.137335300445557,1.4582855328626465e-05,0.0034922079648822546,0.6761247515678406
4,5.834031105041504,5.141043186187744,7.077985355863348e-05,1.5873954907874577e-05,3.2461109161376953,0.47008123993873596,7.209600880742073e-06,4.43439245223999,8.853385224938393e-08,9.9917631149292,0.41803303360939026
5,4.675650119781494,5.817681789398193,3.443013338255696e-05,0.0003513282863423228,1.9297428131103516,0.1801941841840744,9.665745892561972e-06,4.6561737060546875,1.839476499299053e-05,15.228131294250488,0.12700806558132172
6,4.980111122131348,2.9825150966644287,0.00034283578861504793,2.910856892412994e-06,0.2325877994298935,0.07693132758140564,1.0954920526273781e-06,5.942506790161133,1.96888177015353e-05,5.93988561630249,0.00178016338031739
7,4.040444374084473,5.407343864440918,2.4097698769764975e-06,2.199769915023353e-05,2.168879291275516e-06,1.8300812371307984e-05,7.377006113529205e-06,6.2157697677612305,4.651503331842832e-06,23.742612838745117,7.147154974518344e-05
8,5.918440818786621,5.062353134155273,3.814586307271384e-05,8.470286047668196e-06,0.00026478018844500184,0.00015672242443542928,1.9454660105111543e-07,2.7755086421966553,2.3911758262329386e-07,7.885066509246826,0.00027180949109606445
9,5.654691219329834,4.026815414428711,3.9942395233083516e-05,7.502586640839581e-07,4.826799795409897e-07,0.0010079240892082453,9.964514902094379e-06,4.377816200256348,7.335018744925037e-05,19.510337829589844,1.5673211237299256e-05
