,Const,Liniowy od 1,Liniowy do 1
0,12.483880996704102,7.4978346824646,10.905292510986328
1,4.78518533706665,5.175822734832764,5.143058776855469
2,3.9000911712646484,4.931251525878906,3.944470167160034
3,0.40902718901634216,0.949030339717865,1.5000333786010742
4,0.0021757713984698057,1.6063868315541185e-06,0.00036886308225803077
5,2.9027273740211967e-06,2.0697980289696716e-05,1.2498139767558314e-05
6,2.5001145331771113e-05,4.370995156932622e-06,0.0001548358122818172
7,1.4479246601695195e-07,1.9122126104775816e-06,1.7186182958539575e-05
8,4.980392986908555e-09,6.691471980957431e-07,6.9319330577855e-06
9,1.5350195099017583e-05,2.0217037672409788e-05,2.119306827808032e-06
10,0.0001112677637138404,2.1859254673017858e-07,5.7768298574956134e-05
11,7.476587779819965e-05,4.821691845791065e-08,6.735229544574395e-05
12,5.853554512214032e-07,0.00010645705333445221,0.00020899758965242654
13,1.0558645954006352e-05,5.898512972635217e-05,1.6865333236637525e-06
14,8.681390681886114e-07,5.030321335652843e-05,3.517558434396051e-05
15,4.7818506573094055e-05,9.062688332051039e-05,1.8814334907801822e-05
16,6.547542579937726e-05,4.539672318060184e-07,1.5703299141023308e-06
17,2.0492405383265577e-05,0.0001467790425522253,0.00013798927830066532
18,1.2508256077126134e-05,1.0512212611502036e-05,2.8978547561564483e-06
19,1.1729823199857492e-05,2.1576579456450418e-06,4.316622653277591e-05
20,9.42268525250256e-06,1.8828814063454047e-07,2.862626024580095e-05
21,5.9036410675616935e-05,9.208531264448538e-05,4.575712409859989e-06
22,1.3916896023147274e-05,0.00011049451131839305,0.0001884684170363471
23,0.00037149613490328193,4.697897566074971e-06,6.812936135247583e-07
24,3.187451511621475e-07,7.534548331022961e-06,1.5240168977470603e-05
25,1.6196645447053015e-07,7.899665797594935e-05,9.605059858586174e-06
26,3.5385173191571084e-07,3.1944549846230075e-05,0.000184632430318743
27,7.020092652965104e-06,1.7947262449524715e-06,2.4663547719683265e-06
28,0.00031963340006768703,1.0944941095658578e-06,1.8967699361382984e-05
29,4.003888989245752e-07,1.1243406333960593e-05,0.0004470247367862612
30,2.2737367544323206e-11,5.695572690456174e-05,0.002607070840895176
31,0.00022296929091680795,1.9969096683780663e-05,6.991064083194942e-08
32,1.6383326510549523e-05,1.4657608517154586e-05,0.00014764108345843852
33,0.00016365638293791562,9.577001947036479e-08,6.373677933879662e-06
