,Const,Liniowy od 1,Liniowy do 1
0,0.3999919891357422,0.3999919891357422,0.5999879837036133
1,0.33501511812210083,0.33106234669685364,0.3355003297328949
2,0.18358421325683594,0.21010689437389374,0.199053555727005
3,0.0672711506485939,0.08373969048261642,0.060577183961868286
4,0.050730764865875244,0.03042200580239296,0.018076380714774132
5,0.012754718773066998,0.027594715356826782,0.02164069376885891
6,0.026594871655106544,0.03138185665011406,0.018884116783738136
7,0.027002591639757156,0.019134337082505226,0.019460512325167656
8,0.021861720830202103,0.02322656475007534,0.01920909993350506
9,0.017479505389928818,0.013667586259543896,0.019772572442889214
10,0.019635377451777458,0.016635851934552193,0.02354768104851246
11,0.013511830940842628,0.022990673780441284,0.03641057759523392
12,0.006629914045333862,0.025255847722291946,0.013559057377278805
13,0.010881520807743073,0.016450678929686546,0.013087436556816101
14,0.011199231259524822,0.014014835469424725,0.014190382324159145
15,0.01590588502585888,0.020257918164134026,0.020436711609363556
16,0.016796251758933067,0.016588089987635612,0.020233487710356712
17,0.013361980207264423,0.011004943400621414,0.011066582053899765
18,0.010931353084743023,0.01997818611562252,0.012896986678242683
19,0.008955908007919788,0.021037457510828972,0.024931183084845543
20,0.014039366506040096,0.01684504933655262,0.02019779570400715
21,0.022547582164406776,0.018878718838095665,0.023187939077615738
22,0.014645703136920929,0.011129199527204037,0.009533713571727276
23,0.009104110300540924,0.014448407106101513,0.006641843821853399
24,0.006645041983574629,0.010272985324263573,0.006083225831389427
25,0.009770817123353481,0.01884702406823635,0.0028827509377151728
26,0.012394740246236324,0.026765374466776848,0.019401973113417625
27,0.014570248313248158,0.01571645215153694,0.009270217269659042
28,0.015359452925622463,0.008910208940505981,0.010755611583590508
29,0.01783192716538906,0.011883360333740711,0.012352718971669674
30,0.017323756590485573,0.012968926690518856,0.014685392379760742
31,0.01985674351453781,0.005402055568993092,0.013294477947056293
32,0.031441811472177505,0.013658438809216022,0.008312532678246498
33,0.032967738807201385,0.01010862272232771,0.012149340473115444
34,0.02767663076519966,0.030862046405673027,0.009469735436141491
35,0.011716107837855816,0.021705128252506256,0.006710931658744812
36,0.02235671877861023,0.02088348940014839,0.03072795644402504
37,0.019131241366267204,0.03433416411280632,0.009729414246976376
38,0.004188197199255228,0.015915023162961006,0.013887991197407246
39,0.003964874893426895,0.014171372167766094,0.014852038584649563
