,<class 'torch.nn.modules.activation.ELU'>,<class 'torch.nn.modules.activation.Hardshrink'>,<class 'torch.nn.modules.activation.Hardsigmoid'>,<class 'torch.nn.modules.activation.Hardtanh'>,<class 'torch.nn.modules.activation.Hardswish'>,<class 'torch.nn.modules.activation.LeakyReLU'>,<class 'torch.nn.modules.activation.LogSigmoid'>,<class 'torch.nn.modules.activation.PReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU6'>,<class 'torch.nn.modules.activation.RReLU'>,<class 'torch.nn.modules.activation.SELU'>,<class 'torch.nn.modules.activation.CELU'>,<class 'torch.nn.modules.activation.GELU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.SiLU'>,<class 'torch.nn.modules.activation.Mish'>,<class 'torch.nn.modules.activation.Softplus'>,<class 'torch.nn.modules.activation.Softshrink'>,<class 'torch.nn.modules.activation.Softsign'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanhshrink'>,<class 'torch.nn.modules.activation.Softmax'>
0,0.7999839782714844,0.7999839782714844,0.5998080372810364,0.5999879837036133,0.5999879837036133,0.5999879837036133,0.8003168106079102,0.3999919891357422,0.3999919891357422,0.7999839782714844,0.7999839782714844,0.3999919891357422,0.7999839782714844,0.5999879837036133,0.7997439503669739,0.5999879837036133,0.5999879837036133,0.7996513247489929,0.3999919891357422,0.5999879837036133,0.5999879837036133,0.5999879837036133,0.3999839723110199
1,0.3431096076965332,0.38980749249458313,0.2745140492916107,0.33132654428482056,0.3790663182735443,0.33718064427375793,0.2523714303970337,0.3311421573162079,0.3336099684238434,0.33189329504966736,0.3452337384223938,0.3414575159549713,0.33590468764305115,0.3709969222545624,0.26642581820487976,0.3757340908050537,0.3638041019439697,0.23213310539722443,0.3898296356201172,0.3691362738609314,0.3476022183895111,0.38966551423072815,0.37991419434547424
2,0.14712421596050262,0.3800865113735199,0.23065458238124847,0.1904659867286682,0.2982005178928375,0.1923898458480835,0.05299614742398262,0.16265396773815155,0.17398329079151154,0.17297638952732086,0.16447143256664276,0.12045042961835861,0.15722224116325378,0.25170499086380005,0.18213538825511932,0.2824293076992035,0.24219074845314026,0.07078846544027328,0.3804577887058258,0.27759942412376404,0.23732255399227142,0.3797101378440857,0.3609507381916046
3,0.06469162553548813,0.3710116744041443,0.08564743399620056,0.0574851892888546,0.16866223514080048,0.06826600432395935,0.06951184570789337,0.05515483766794205,0.08184034377336502,0.0777149423956871,0.048178765922784805,0.060011912137269974,0.06155767664313316,0.059170108288526535,0.12947823107242584,0.08324994891881943,0.04640771448612213,0.059024401009082794,0.37025150656700134,0.2101135104894638,0.04099982604384422,0.3699636161327362,0.34363967180252075
4,0.031045326963067055,0.36092886328697205,0.08080513030290604,0.025477785617113113,0.04728083685040474,0.05898665264248848,0.032788537442684174,0.03158055245876312,0.05052357539534569,0.05333021283149719,0.01946285553276539,0.02356584556400776,0.037544168531894684,0.04469046741724014,0.1178673654794693,0.05272488668560982,0.03472738340497017,0.05750170350074768,0.3604165017604828,0.08511268347501755,0.04079644754528999,0.36111098527908325,0.32575318217277527
5,0.01241797860711813,0.35135897994041443,0.10991872847080231,0.01327419001609087,0.03448854014277458,0.019820785149931908,0.074341781437397,0.024716965854167938,0.011420471593737602,0.012656524777412415,0.017188599333167076,0.021796375513076782,0.02071940153837204,0.026439739391207695,0.05891541764140129,0.02242937497794628,0.018712207674980164,0.07422903180122375,0.35219013690948486,0.07782255858182907,0.04737132787704468,0.3519027829170227,0.3103516697883606
6,0.021628959104418755,0.34277310967445374,0.09720828384160995,0.020412763580679893,0.01786741428077221,0.016938170418143272,0.08155256509780884,0.018419723957777023,0.02899070456624031,0.01488169189542532,0.03302673622965813,0.0232390146702528,0.007563460152596235,0.028977731242775917,0.06859119981527328,0.016751548275351524,0.011904262937605381,0.0697307288646698,0.34282031655311584,0.043502312153577805,0.05060179904103279,0.3430292308330536,0.2964530289173126
7,0.019435008987784386,0.33444732427597046,0.10377059131860733,0.027318010106682777,0.03371167927980423,0.020935067906975746,0.06073419004678726,0.01809035614132881,0.021570047363638878,0.017691999673843384,0.01524150837212801,0.03348591551184654,0.011712633073329926,0.025267688557505608,0.05318243056535721,0.039418261498212814,0.025053679943084717,0.052534472197294235,0.3341161906719208,0.05101805925369263,0.029594963416457176,0.3343799114227295,0.2837556004524231
8,0.0164041668176651,0.32604941725730896,0.07587550580501556,0.03059394098818302,0.013599598780274391,0.027647510170936584,0.1070898100733757,0.021784411743283272,0.022564884275197983,0.016238674521446228,0.024057259783148766,0.014611639082431793,0.04207046329975128,0.024937117472290993,0.062345802783966064,0.02552218548953533,0.021947164088487625,0.07544679194688797,0.32599204778671265,0.048860471695661545,0.025133365765213966,0.32653695344924927,0.2719425857067108
9,0.009731066413223743,0.318231463432312,0.07658684253692627,0.03720371052622795,0.03831976279616356,0.016915246844291687,0.07886891812086105,0.01725560426712036,0.019625065848231316,0.013717791996896267,0.01794097200036049,0.009840321727097034,0.012063574977219105,0.010697963647544384,0.049744267016649246,0.022070307284593582,0.03398430719971657,0.11898120492696762,0.3185734450817108,0.04460490494966507,0.020744984969496727,0.31891703605651855,0.2620078921318054
