,Const,Liniowy od 1,Liniowy do 1
0,19.422290802001953,23.11639976501465,19.441104888916016
1,16.36105728149414,17.749942779541016,17.28006362915039
2,12.505330085754395,12.576728820800781,13.823874473571777
3,5.937456130981445,7.690897464752197,7.167370796203613
4,0.5349578261375427,0.5656243562698364,0.6641656160354614
5,0.00014429973089136183,7.334201654884964e-07,0.0003656738845165819
6,2.430038875900209e-05,5.370475264498964e-06,1.9948502085753717e-06
7,0.00037411085213534534,8.082527347141877e-05,9.91860797512345e-05
8,8.479099778924137e-05,1.0412804840598255e-06,2.841998139047064e-07
9,6.1174810070951935e-06,1.798599259927869e-05,0.0004337761492934078
10,4.4750060624210164e-05,2.4730081349844113e-05,3.4018339647445828e-06
11,0.00018663343507796526,6.498275524791097e-06,0.0001180010149255395
12,4.984286533726845e-06,5.500073893927038e-05,4.748676474264357e-06
13,1.855257505667396e-05,4.149565938860178e-06,1.1571946743060835e-05
14,1.8585451471153647e-05,0.00012598423927556723,2.781316652544774e-07
15,0.00010539699724176899,0.0002659764722920954,1.8339051166549325e-08
16,3.0859723665344063e-07,0.00044251952203921974,6.167758783703903e-07
17,3.400075456738705e-06,2.6994443032890558e-05,1.289571537199663e-05
18,0.00024116950226016343,1.933371095219627e-06,0.00024893227964639664
19,0.00030185721698217094,3.327327431179583e-05,6.35414180578664e-05
20,3.925824785255827e-07,1.730786948428431e-06,1.9036292542295996e-07
21,1.2803706113118096e-06,4.001327397418208e-06,2.3702364160271827e-07
22,4.650864866562188e-05,0.00012157059245510027,9.955684799933806e-05
23,3.3948017517104745e-06,2.2190251911524683e-06,3.3825131140474696e-06
24,5.9274792874930426e-05,1.3118560673319735e-06,3.6011952033732086e-05
25,3.165951056871563e-07,8.446710126008838e-06,1.0618171017995337e-06
26,5.693440471077338e-06,8.110846829367802e-05,0.00011407682904973626
27,7.039056072244421e-06,1.4862785064906348e-05,0.00033036983222700655
28,8.630631782580167e-06,1.6085532479337417e-05,2.0086463337065652e-05
29,0.00042600531014613807,1.780063939804677e-06,6.905593181727454e-06
30,1.4650307093688753e-05,5.061229785496835e-06,8.432857612206135e-08
31,7.89585174061358e-05,5.790973227703944e-05,0.00025694031501188874
32,3.4035933822451625e-06,1.4591959370591212e-05,3.447720473559457e-06
33,2.66684082816937e-07,5.3246778406901285e-05,1.060673275787849e-05
34,5.677522494806908e-06,2.8496293452917598e-05,2.6578986762615386e-06
35,0.00025567307602614164,3.7294964840839384e-06,0.0001873637520475313
36,6.888061761856079e-06,1.0520127489144215e-06,2.6781490305438638e-06
37,0.00023635085381101817,6.837359978817403e-05,0.0006696931086480618
38,0.00010626034782035276,2.1393589122453704e-09,4.653560608858243e-06
39,0.00017008063150569797,1.9135318325425033e-06,6.0247944929869846e-05
40,2.049456088570878e-05,0.00024293512979056686,8.174542017513886e-06
41,1.7091429072024766e-07,6.302849214989692e-06,9.953781409421936e-05
42,2.9845364224456716e-06,5.916308509767987e-06,3.928813021047972e-05
43,0.00044948808499611914,4.175254071014933e-05,1.1965394151047803e-06
44,2.7362352739146445e-07,8.366195106646046e-05,1.9682469428516924e-05
45,0.00033974379766732454,4.3084146454930305e-06,3.731113338290015e-07
46,0.00022568316489923745,6.8380941229406744e-06,0.0009784409776329994
47,6.939464947208762e-05,1.1901926882273983e-05,2.616843266878277e-05
48,9.255109034711495e-06,0.00019623870321083814,5.000604232918704e-07
49,0.0002849999873433262,4.286287094146246e-07,6.247902547329431e-06
50,4.5615459384862334e-05,0.00012406484165694565,0.0005931860650889575
51,1.2892292033939157e-07,1.8689410126171424e-06,0.0001361470203846693
52,1.7269308955292217e-05,7.435003499267623e-05,0.00015127862570807338
53,5.913989298278466e-10,6.102025508880615e-05,0.0002635711571201682
54,0.00020270366803742945,1.176800878965878e-06,1.7826096154749393e-10
55,5.007350409869105e-07,2.0005336409667507e-07,1.7408386838724255e-06
