,Adadelta,Adagrad,Adam,AdamW,Adamax,ASGD,NAdam,RAdam,RMSprop,SGD
0,8.53104305267334,10.937707901000977,12.665644645690918,9.776323318481445,11.703839302062988,11.80748462677002,15.875872611999512,9.944223403930664,14.066078186035156,12.202383041381836
1,5.289401531219482,5.238620758056641,5.812219619750977,5.679726600646973,5.662193298339844,4.167773723602295,4.531283855438232,6.689037322998047,1.5102828741073608,4.9810357093811035
2,4.502553939819336,5.397276878356934,3.3143022060394287,3.523566484451294,3.228994131088257,1.4208393096923828,2.674783706665039,4.851653575897217,1.2841501302318648e-06,2.0747411251068115
3,5.7880473136901855,5.922547340393066,0.4871618449687958,1.2953424453735352,5.422399997711182,1.126424789428711,2.54513906838838e-07,4.216951847076416,6.203011434990913e-05,0.7485014796257019
4,6.794373989105225,4.907412052154541,5.8200384955853224e-05,3.679737710626796e-05,4.278026103973389,0.3930179178714752,1.0383630524302134e-06,5.436855316162109,8.95452217264392e-07,0.2789262533187866
5,5.798787593841553,5.83535623550415,5.543121460505063e-06,1.3409617167781107e-06,2.0685765743255615,0.0714842900633812,3.1736126402392983e-06,5.610818386077881,4.7854780859779567e-05,0.10237081348896027
6,4.8479204177856445,3.698047637939453,1.443392102373764e-05,6.694217063341057e-06,0.3190096914768219,0.00131559232249856,1.7826096154749393e-06,5.804327011108398,4.647289097192697e-05,0.005681654438376427
7,5.6813788414001465,5.139232635498047,0.00073705316754058,9.611394489184022e-07,4.363428524811752e-05,4.330217052483931e-06,4.642738713300787e-05,3.844802141189575,3.104808274656534e-05,0.003926153760403395
8,4.302755355834961,4.766902446746826,2.1610276235151105e-05,8.352679287781939e-05,6.079799277358688e-06,0.0006048916839063168,3.257830394431949e-05,2.996342420578003,5.453673111333046e-06,4.275814717402682e-06
9,4.683317184448242,3.896679639816284,1.8828814063454047e-07,1.2115083336539101e-05,5.933719421591377e-06,1.2280397641006857e-06,7.395584589175996e-07,4.249433517456055,4.6821355681458954e-07,3.0566350233129924e-06
10,4.880578994750977,3.4509212970733643,2.9942180844955146e-05,1.609509672562126e-05,6.502860924229026e-05,4.4793255256081466e-06,0.00019625206186901778,4.813260555267334,1.0979556464008056e-05,6.282514277700102e-06
11,6.047763824462891,2.2341859340667725,1.0739144272520207e-05,0.00011830163566628471,2.4642422431497835e-05,1.4624765753978863e-07,2.6961270123138092e-06,5.246452331542969,1.3306475921126548e-09,8.802211232250556e-05
12,4.0421319007873535,1.8615421056747437,5.071666464573354e-07,2.7682550353347324e-05,3.847345942631364e-05,5.0558674047351815e-06,1.1571946743060835e-05,4.2777605056762695,1.570720996824093e-05,1.747201895341277e-05
